"question","answer","category","priority_class"
"Не могу войти в АС «ИнвестПро» — ошибка аутентификации.","Убедитесь, что вы подключены к корпоративной сети или VPN. Сбросьте токен в [портале безопасности](https://security.sberbank.ru).","Авторизация","well_known_question"
"Как подключить SberOTP на новый телефон?","Откройте приложение **SberOTP**, нажмите «Восстановить аккаунт» и следуйте инструкциям. Потребуется код из SMS и ваш корпоративный email.","Авторизация","well_known_question"
"Где найти шаблон отчёта «Альфа-мониторинг ИИС» за Q4 2024?","Шаблоны хранятся в **SharePoint → Департамент Инвестиций → Отчётность → Шаблоны 2024**. Доступ требует роли «Invest_Analyst».","Документы","well_known_question"
"Как отправить клиенту предложение по ИИС через «Финмаркет»?","1. Откройте карточку клиента в CRM. 2. Нажмите «Создать коммерческое предложение». 3. Выберите продукт «ИИС тип А». 4. Нажмите «Отправить в Финмаркет».","Документы","well_known_question"
"Как подтвердить факт cold call’а для compliance-отчёта?","Все звонки фиксируются в **Системе записи разговоров (СЗР)**. Номер сессии можно найти в CRM → «История взаимодействий». Для отчёта укажите ID сессии и время.","Compliance","well_known_question"
"Где взять актуальный список запрещённых инструментов для рекомендаций?","Обновлённый список публикуется еженедельно в **Confluence → Департамент Рисков → Инвест-ограничения**.","Compliance","well_known_question"
"Как записаться на обучение по продуктам ИИС?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Где посмотреть мой KPI по привлечению ИИС?","В **BI-панели «Invest_Dashboard»** (Power BI). Доступ автоматически выдаётся всем сотрудникам с ролью «Invest_Advisor».","HR","well_known_question"
"Как открыть брокерский счёт для юрлица через CRM?","1. Нажмите «Новый клиент – Юрлицо». 2. Выберите «Открытие счёта». 3. Загрузите учредительные документы. 4. Система автоматически сформирует пакет на подпись через DocFlow.","Документы","well_known_question"
"Клиент не может войти в мобильное приложение «СберИнвест» — что посоветовать?","Попросите клиента: 1) Обновить приложение, 2) Перезагрузить устройство, 3) Убедиться, что включён доступ к биометрии.","Технические сервисы","well_known_question"
"Как проверить статус заявки на открытие ИИС?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Можно ли рекомендовать клиенту криптовалютные ETF?","Нет. На 2025 год все ETF с крипто-экспозицией внесены в **чёрный список** Департамента Рисков.","Compliance","well_known_question"
"Где найти инструкцию по работе с «Инвест-аналитикой»?","Инструкции в **Confluence → СберИнвестиции → Инструменты → Инвест-аналитика**. Требуется роль «Invest_Analyst» или выше.","Документы","well_known_question"
"Как экспортировать список клиентов с ИИС в Excel?","В CRM: «Аналитика → Отчёты → ИИС → Экспорт (XLSX)». Доступно только с ролью «Invest_Manager».","Документы","well_known_question"
"Где посмотреть график вебинара по новым ETF?","Расписание — в **SberUniversity → События → Инвестиции**. Все вебинары записываются и доступны в течение 30 дней.","HR","well_known_question"
"Как обновить профиль риска клиента в CRM?","1. Откройте карточку клиента. 2. Нажмите «Профиль риска». 3. Запустите анкету повторной оценки. 4. Подтвердите результаты. Требуется согласие клиента.","Compliance","well_known_question"
"Как найти список клиентов с просроченной анкетой KYC?","В CRM: «Аналитика → Compliance → Просроченные KYC». Фильтр обновляется ежедневно.","Compliance","well_known_question"
"Как настроить уведомления о новых сделках в Telegram?","1. Авторизуйтесь в боте **@Invest_Alert**. 2. Введите /subscribe. 3. Подтвердите роль «Invest_Advisor».","Технические сервисы","well_known_question"
"CRM не позволяет завершить сделку — ошибка «Клиент не прошёл верификацию».","Клиент должен пройти eKYC в мобильном приложении. Отправьте ему push-уведомление через CRM или SMS-шаблон.","Compliance","well_known_question"
"Где найти историю изменений по клиентскому портфелю?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Как отправить массовое письмо клиентам с ИИС о налоговых вычетах?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Почему в «Торговце» недоступна маржинальная торговля?","Маржинальная торговля требует отдельного согласия клиента и прохождения теста. Проверьте статус в CRM → «Услуги клиента».","Торговля","well_known_question"
"Как восстановить удалённый черновик предложения в CRM?","Черновики хранятся 30 дней в «Корзине предложений». Восстановите через CRM → «Мои черновики» → «Архив».","Документы","well_known_question"
"Как проверить, одобрен ли клиент для торговли деривативами?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Где найти список одобренных поставщиков исследований для клиентов?","В Confluence → СберИнвестиции → Research_Vendors. Обновляется ежеквартально.","Аналитика","well_known_question"
"Как экспортировать историю сделок клиента в CSV?","В CRM: «Сделки» → «Экспорт» → выберите период → формат CSV.","Документы","well_known_question"
"Как добавить нового клиента в портфельный обзор?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Как найти коллегу по фамилии в корпоративном каталоге?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Почему в отчёте «Клиенты без активности» отображаются активные клиенты?","Отчёт считает активность по сделкам, а не по входам. Клиент без сделок 90+ дней считается неактивным.","Отчётность","well_known_question"
"Как изменить email для уведомлений от «Финмаркета»?","1. Зайдите в «Финмаркет». 2. Профиль → «Настройки уведомлений». 3. Укажите корпоративный email.","Технические сервисы","well_known_question"
"Как проверить баланс ИИС клиента?","В CRM → «Портфель клиента» → вкладка «ИИС». Баланс обновляется в реальном времени.","Аналитика","well_known_question"
"Где найти регламент по холодным звонкам?","В Confluence → СберИнвестиции → Compliance → Cold_Call_Policy_2025.","Compliance","well_known_question"
"Как отправить клиенту отчёт по портфелю в PDF?","В CRM: «Портфель» → «Сформировать отчёт» → выберите шаблон → «Отправить клиенту».","Документы","well_known_question"
"Как проверить, подписан ли клиент на ESG-рассылку?","В CRM → «Коммуникации» → флаг «ESG_Subscribed». При отсутствии — отправьте приглашение.","HR","well_known_question"
"Как обновить данные паспорта клиента в системе?","1. Получите скан нового паспорта. 2. Загрузите в CRM через форму «Обновление KYC». 3. Запустите верификацию.","Compliance","well_known_question"
"Как найти историю изменения комиссий по счёту?","В CRM → «Счёт» → «История условий». Архив доступен за последние 2 года.","Документы","well_known_question"
"Как отменить отправленное коммерческое предложение?","Предложение можно отменить, пока клиент не открыл его. В CRM: «Мои предложения» → «Отменить».","Документы","well_known_question"
"Где взять шаблон письма для привлечения VIP-клиентов?","В SharePoint → СберИнвестиции → Шаблоны → VIP_Onboarding_2025.docx.","HR","well_known_question"
"Как проверить статус интеграции с 1С у клиента-юрлица?","В CRM → «Клиент-юрлицо» → вкладка «Интеграции». Статус: «Активна» / «Требует настройки».","Технические сервисы","well_known_question"
"Почему в «Торговце» недоступна покупка ОФЗ?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Как экспортировать список клиентов с опцией «робо-советник»?","В CRM: «Аналитика → Робо-советник → Экспорт клиентов».","Аналитика","well_known_question"
"Как проверить, одобрена ли сделка compliance?","В CRM → «Сделка» → статус «Compliance Check». Зелёный — одобрено.","Compliance","well_known_question"
"Где найти инструкцию по работе с опционами в «Торговце»?","В Confluence → СберИнвестиции → Торговля → Опционы_Гид,Compliance""","well_known_question",""
"Почему ETF не отображается в CRM?","В SharePoint → СберИнвестиции → Шаблоны → VIP_Onboarding_2025.docx.","HR","well_known_question"
"Где найти информацию по Power BI?","В CRM → «Счёт» → «История условий». Архив доступен за последние 2 года.","Документы","well_known_question"
"Как обновить KYC?","В CRM: «Аналитика → Compliance → Просроченные KYC». Фильтр обновляется ежедневно.","Compliance","well_known_question"
"Можно ли использовать профиль риска без облигации?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Почему в опционы ошибка?","Инструкции в **Confluence → СберИнвестиции → Инструменты → Инвест-аналитика**. Требуется роль «Invest_Analyst» или выше.","Документы","well_known_question"
"Можно ли использовать профиль риска без ETF?","В CRM → «Сделка» → статус «Compliance Check». Зелёный — одобрено.","Compliance","well_known_question"
"Почему не загружается валютные инструменты?","1. Откройте карточку клиента в CRM. 2. Нажмите «Создать коммерческое предложение». 3. Выберите продукт «ИИС тип А». 4. Нажмите «Отправить в Финмаркет».","Документы","well_known_question"
"Как проверить статус валютные инструменты?","Шаблоны хранятся в **SharePoint → Департамент Инвестиций → Отчётность → Шаблоны 2024**. Доступ требует роли «Invest_Analyst».","Документы","well_known_question"
"Как исправить проблему с СЗР?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Где найти информацию по SberOTP?","В Confluence → СберИнвестиции → Compliance → Cold_Call_Policy_2025.","Compliance","well_known_question"
"Что делать, если не работает Power BI?","В SharePoint → СберИнвестиции → Шаблоны → VIP_Onboarding_2025.docx.","HR","well_known_question"
"Почему не загружается маржинальная торговля?","В CRM: «Аналитика → Робо-советник → Экспорт клиентов».","Аналитика","well_known_question"
"Как исправить проблему с профиль риска?","Нет. На 2025 год все ETF с крипто-экспозицией внесены в **чёрный список** Департамента Рисков.","Compliance","well_known_question"
"Почему SberOTP не отображается в валютные инструменты?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Что делать, если не работает робо-советник?","Черновики хранятся 30 дней в «Корзине предложений». Восстановите через CRM → «Мои черновики» → «Архив».","Документы","well_known_question"
"Где найти информацию по налоговый вычет?","В CRM: «Портфель» → «Сформировать отчёт» → выберите шаблон → «Отправить клиенту».","Документы","well_known_question"
"Почему ИИС не отображается в Торговец?","Шаблоны хранятся в **SharePoint → Департамент Инвестиций → Отчётность → Шаблоны 2024**. Доступ требует роли «Invest_Analyst».","Документы","well_known_question"
"Можно ли использовать маржинальная торговля без налоговый вычет?","Нет. На 2025 год все ETF с крипто-экспозицией внесены в **чёрный список** Департамента Рисков.","Compliance","well_known_question"
"Как обновить DocFlow?","В Confluence → СберИнвестиции → Research_Vendors. Обновляется ежеквартально.","Аналитика","well_known_question"
"Как обновить CRM?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Где найти информацию по СЗР?","1. Зайдите в «Финмаркет». 2. Профиль → «Настройки уведомлений». 3. Укажите корпоративный email.","Технические сервисы","well_known_question"
"Как проверить статус ETF?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Что делать, если не работает ДИС?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Где найти информацию по робо-советник?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Почему не загружается ETF?","1. Нажмите «Новый клиент – Юрлицо». 2. Выберите «Открытие счёта». 3. Загрузите учредительные документы. 4. Система автоматически сформирует пакет на подпись через DocFlow.","Документы","well_known_question"
"Как обновить профиль риска?","Откройте приложение **SberOTP**, нажмите «Восстановить аккаунт» и следуйте инструкциям. Потребуется код из SMS и ваш корпоративный email.","Авторизация","well_known_question"
"Где найти информацию по деривативы?","В CRM: «Портфель» → «Сформировать отчёт» → выберите шаблон → «Отправить клиенту».","Документы","well_known_question"
"Почему не загружается ДИС?","Отчёт считает активность по сделкам, а не по входам. Клиент без сделок 90+ дней считается неактивным.","Отчётность","well_known_question"
"Как исправить проблему с CRM?","В CRM → «Портфель клиента» → вкладка «ИИС». Баланс обновляется в реальном времени.","Аналитика","well_known_question"
"Что делать, если не работает СЗР?","В CRM → «Клиент-юрлицо» → вкладка «Интеграции». Статус: «Активна» / «Требует настройки».","Технические сервисы","well_known_question"
"Почему ДИС не отображается в DocFlow?","В CRM → «Сделка» → статус «Compliance Check». Зелёный — одобрено.","Compliance","well_known_question"
"Где найти информацию по опционы?","В Confluence → СберИнвестиции → Compliance → Cold_Call_Policy_2025.","Compliance","well_known_question"
"Как проверить статус Торговец?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Почему SberOTP не отображается в налоговый вычет?","Нет. На 2025 год все ETF с крипто-экспозицией внесены в **чёрный список** Департамента Рисков.","Compliance","well_known_question"
"Где найти информацию по валютные инструменты?","1. Авторизуйтесь в боте **@Invest_Alert**. 2. Введите /subscribe. 3. Подтвердите роль «Invest_Advisor».","Технические сервисы","well_known_question"
"Как исправить проблему с Торговец?","В CRM → «Коммуникации» → флаг «ESG_Subscribed». При отсутствии — отправьте приглашение.","HR","well_known_question"
"Где найти информацию по валютные инструменты?","В CRM: «Аналитика → Робо-советник → Экспорт клиентов».","Аналитика","well_known_question"
"Почему биржевые фонды не отображается в Торговец?","Попросите клиента: 1) Обновить приложение, 2) Перезагрузить устройство, 3) Убедиться, что включён доступ к биометрии.","Технические сервисы","well_known_question"
"Как настроить SharePoint?","В CRM → «Счёт» → «История условий». Архив доступен за последние 2 года.","Документы","well_known_question"
"Почему Power BI не отображается в ОФЗ?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
