question,answer,category,priority_class
"Не могу войти в АС «ИнвестПро» — ошибка аутентификации.","Убедитесь, что вы подключены к корпоративной сети или VPN. Если проблема сохраняется, сбросьте токен в [портале безопасности](https://security.sberbank.ru). При частых ошибках — запросите диагностику доступа.","Авторизация",well_known_question
"Как подключить SberOTP на новый телефон?","Откройте приложение **SberOTP**, нажмите «Восстановить аккаунт» и следуйте инструкциям. Потребуется код из SMS и ваш корпоративный email.","Авторизация",well_known_question
"Где найти шаблон отчёта «Альфа-мониторинг ИИС» за Q4 2024?","Шаблоны хранятся в **SharePoint → Департамент Инвестиций → Отчётность → Шаблоны 2024**. Доступ требует роли «Invest_Analyst».","Документы",well_known_question
"Как отправить клиенту предложение по ИИС через «Финмаркет»?","1. Откройте карточку клиента в CRM. 2. Нажмите «Создать коммерческое предложение». 3. Выберите продукт «ИИС тип А». 4. Нажмите «Отправить в Финмаркет».","Документы",well_known_question
"Как подтвердить факт cold call’а для compliance-отчёта?","Все звонки фиксируются в **Системе записи разговоров (СЗР)**. Номер сессии можно найти в CRM → «История взаимодействий». Для отчёта укажите ID сессии и время.","Compliance",well_known_question
"Где взять актуальный список запрещённых инструментов для рекомендаций?","Обновлённый список публикуется еженедельно в **Confluence → Департамент Рисков → Инвест-ограничения**. Подписка на RSS-уведомления рекомендуется.","Compliance",well_known_question
"Как записаться на обучение по продуктам ИИС?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR",well_known_question
"Где посмотреть мой KPI по привлечению ИИС?","В **BI-панели «Invest_Dashboard»** (Power BI). Доступ автоматически выдаётся всем сотрудникам с ролью «Invest_Advisor».","HR",well_known_question
"Привет!","Привет! Я — AI-агент поддержки для сотрудников СберИнвестиций. Задайте вопрос по доступу, CRM, отчётности, compliance или техническим проблемам. Например: *«Не могу найти шаблон ИИС-отчёта»* или *«Как подтвердить cold call?»*","Общее",well_known_question
"Как открыть брокерский счёт для юрлица через CRM?","1. Нажмите «Новый клиент – Юрлицо». 2. Выберите «Открытие счёта». 3. Загрузите учредительные документы. 4. Система автоматически сформирует пакет на подпись через DocFlow.","Документы",well_known_question
"Клиент не может войти в мобильное приложение «СберИнвест» — что посоветовать?","Попросите клиента: 1) Обновить приложение, 2) Перезагрузить устройство, 3) Убедиться, что включён доступ к биометрии. Если не помогает — направьте в службу поддержки клиентов (не внутренняя поддержка).","Технические сервисы",well_known_question
"Как проверить статус заявки на открытие ИИС?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы",well_known_question
"Можно ли рекомендовать клиенту криптовалютные ETF?","Нет. На 2025 год все ETF с крипто-экспозицией внесены в **чёрный список** Департамента Рисков. Рекомендация таких инструментов запрещена.","Compliance",well_known_question
"Где найти инструкцию по работе с «Инвест-аналитикой»?","Инструкции в **Confluence → СберИнвестиции → Инструменты → Инвест-аналитика**. Требуется роль «Invest_Analyst» или выше.","Документы",well_known_question
"Как экспортировать список клиентов с ИИС в Excel?","В CRM: «Аналитика → Отчёты → ИИС → Экспорт (XLSX)». Доступно только с ролью «Invest_Manager».","Документы",well_known_question
"Где посмотреть график вебинара по новым ETF?","Расписание — в **SberUniversity → События → Инвестиции**. Все вебинары записываются и доступны в течение 30 дней.","HR",well_known_question
"Где получить доступ к торговой платформе «Торговец»?","Доступ оформляется через **Бизнес-портал → ИТ-запросы → Форма «Доступ к торговым системам»**. Требуется подтверждение от вашего линейного руководителя и compliance-офиса.","Авторизация",send_to_helpdesk
"Не загружается портфель клиента в CRM «Инвест». Что делать?","Проверьте фильтры: возможно, выбран неверный сегмент или статус. Если проблема у всех — возможен сбой синхронизации с DWH. Я создам инцидент в ИТ.","Технические сервисы",send_to_helpdesk
"CRM не позволяет отправить предложение — кнопка неактивна. Что делать?","Проверьте: 1) Есть ли у клиента статус «Договор подписан», 2) Пройдена ли верификация. Если всё верно — возможна ошибка синхронизации. Создаю заявку в ИТ.","Технические сервисы",send_to_helpdesk
"Как изменить лимит на операции в «Торговце» для клиента?","Лимиты меняет только специалист 2-й линии поддержки по запросу от compliance. Я направлю ваш запрос с пометкой «Изменение лимита».","Технические сервисы",send_to_helpdesk
"Не приходят уведомления о новых клиентах в Telegram-боте «Invest_Alert».","Проверьте: 1) Подписку в боте, 2) Наличие роли «Invest_Advisor». Если всё верно — возможен сбой в интеграции. Создаю заявку.","Технические сервисы",send_to_helpdesk
"Система не даёт завершить сделку — ошибка «Нарушение лимита риска».","Это означает, что клиент превысил лимит по классу риска. Проверьте профиль риска в CRM. Если требуется исключение — запросите одобрение compliance.","Compliance",send_to_helpdesk
"Портал «Финмаркет» не отображает мой профиль. Что делать?","Очистите кэш браузера и убедитесь, что вы вошли через SSO. Если не помогает — запрос на синхронизацию профиля отправлен в ИТ.","Технические сервисы",send_to_helpdesk
"Клиент жалуется на убытки — нужно ли завести инцидент?","Да. Если клиент упоминает убытки > 1 млн ₽ или угрожает обращением в ЦБ — это **high_priority**. Я немедленно передаю запрос в юридический и compliance.","Compliance",high_priority
"Обнаружил, что клиенту ошибочно рекомендовали запрещённый ETF!","❗ Срочно! Это потенциальный инцидент уровня **high_priority**. Ваш запрос передан в compliance и юридический отдел. Аккаунт временно заморожен.","Compliance",high_priority
"В системе «Торговец» произошла двойная покупка бумаг — клиент в убытке!","❗ Критическая ошибка исполнения. Создана заявка в **Техническую поддержку торговых систем (L3)** с приоритетом P0. Ожидайте звонка в течение 5 минут.","Технические сервисы",high_priority
"Клиент требует компенсацию за просрочку исполнения заявки. Что делать?","❗ Это претензионная ситуация. Передаю запрос в юридический отдел и compliance. Не обещайте компенсацию самостоятельно.","Compliance",high_priority
"Клиент получил уведомление об ошибке, которой не было. Возможна ли утечка данных?","❗ Потенциальный инцидент ИБ. Запрос немедленно передан в **Security Operations Center (SOC)**. Ваш аккаунт временно ограничен.","Безопасность",high_priority
